"iteration","t","position"
0,0.0,0.985765306122449
1,0.01,0.9575502915451894
2,0.02,0.9159596834652228
3,0.03,0.861783988467107
4,0.04,0.7959830208142677
5,0.05,0.7196701285836444
6,0.060000000000000005,0.6340939843440341
7,0.07,0.5406186779042219
8,0.08,0.44070243426065203
9,0.09,0.3358752817353743
10,0.09999999999999999,0.22771600665394498
11,0.10999999999999999,0.11782873640399666
12,0.11999999999999998,0.007819493165852584
13,0.12999999999999998,-0.10072694387312606
14,0.13999999999999999,-0.20626953928530115
15,0.15,-0.3073325504867789
16,0.16,-0.40252582867552916
17,0.17,-0.49056359736659877
18,0.18000000000000002,-0.5702814601021351
19,0.19000000000000003,-0.6406514179535036
20,0.20000000000000004,-0.7007947092134188
21,0.21000000000000005,-0.7499923177011396
22,0.22000000000000006,-0.787693031851645
23,0.23000000000000007,-0.8135189736912226
24,0.24000000000000007,-0.8272685543686782
25,0.25000000000000006,-0.8289168505637187
26,0.26000000000000006,-0.8186134332889494
27,0.2700000000000001,-0.7966777168106518
28,0.2800000000000001,-0.7635919301291675
29,0.2900000000000001,-0.7199918462041229
30,0.3000000000000001,-0.6666554344399224
31,0.3100000000000001,-0.6044896294610375
32,0.3200000000000001,-0.5345154335490276
33,0.3300000000000001,-0.4578515909790656
34,0.34000000000000014,-0.375697089632548
35,0.35000000000000014,-0.289312758480877
36,0.36000000000000015,-0.20000223869963624
37,0.37000000000000016,-0.10909261120833949
38,0.38000000000000017,-0.017914964325345336
39,0.3900000000000002,0.07221481797315082
40,0.4000000000000002,0.16001477389221944
41,0.4100000000000002,0.24425482547842867
42,0.4200000000000002,0.3237737364614478
43,0.4300000000000002,0.3974948366284034
44,0.4400000000000002,0.46444030412051795
45,0.45000000000000023,0.5237438207803489
46,0.46000000000000024,0.5746614417370958
47,0.47000000000000025,0.61658054838874
48,0.48000000000000026,0.6490267833933374
49,0.49000000000000027,0.6716688967725285
50,0.5000000000000002,0.6843214633046603
51,0.5100000000000002,0.6869454625873073
52,0.5200000000000002,0.6796467440285957
53,0.5300000000000002,0.6626724291438477
54,0.5400000000000003,0.6364053324662012
55,0.5500000000000003,0.6013565097276574
56,0.5600000000000003,0.5581560673596246
57,0.5700000000000003,0.5075423904620523
58,0.5800000000000003,0.45034996689810963
59,0.5900000000000003,0.38749600282906943
60,0.6000000000000003,0.31996603959832887
61,0.6100000000000003,0.2487987932381901
62,0.6200000000000003,0.17507044589085083
63,0.6300000000000003,0.09987862303855805
64,0.6400000000000003,0.02432629160971716
65,0.6500000000000004,-0.05049418819980586
66,0.6600000000000004,-0.1235166300971627
67,0.6700000000000004,-0.19371598929928988
68,0.6800000000000004,-0.26012252377789974
69,0.6900000000000004,-0.32183495690951464
70,0.7000000000000004,-0.3780324664199123
71,0.7100000000000004,-0.4279853439095487
72,0.7200000000000004,-0.47106419060666854
73,0.7300000000000004,-0.5067475379824266
74,0.7400000000000004,-0.5346278061233224
75,0.7500000000000004,-0.5544155379232578
76,0.7600000000000005,-0.565941872855412
77,0.7700000000000005,-0.5691592499355291
78,0.7800000000000005,-0.564140355118898
79,0.7900000000000005,-0.5510753534176275
80,0.8000000000000005,-0.5302674701307857
81,0.8100000000000005,-0.5021270084141312
82,0.8200000000000005,-0.4671639116681468
83,0.8300000000000005,-0.4259789986097327
84,0.8400000000000005,-0.3792540161619655
85,0.8500000000000005,-0.32774067022960274
86,0.8600000000000005,-0.2722488068440674
87,0.8700000000000006,-0.21363392591786706
88,0.8800000000000006,-0.15278421684247748
89,0.8900000000000006,-0.09060730933456736
90,0.9000000000000006,-0.028016934263464775
91,0.9100000000000006,0.03408031230043405
92,0.9200000000000006,0.09479791282914715
93,0.9300000000000006,0.15328189779647766
94,0.9400000000000006,0.20872266820953864
95,0.9500000000000006,0.2603660103502394
96,0.9600000000000006,0.30752315579217626
97,0.9700000000000006,0.3495797556009528
98,0.9800000000000006,0.38600365512808105
99,0.9900000000000007,0.41635137469467437
100,1.0000000000000007,0.4402732214395341
101,1.0100000000000007,0.4575169783738397
102,1.0200000000000007,0.46793013793131344
103,1.0300000000000007,0.4714606687158598
104,1.0400000000000007,0.46815632541774593
105,1.0500000000000007,0.45816253269040463
106,1.0600000000000007,0.4417188938596999
107,1.0700000000000007,0.41915439439766616
108,1.0800000000000007,0.3908813878736425
109,1.0900000000000007,0.35738846835982285
110,1.1000000000000008,0.3192323478032098
111,1.1100000000000008,0.277028869497404
112,1.1200000000000008,0.23144329934135163
113,1.1300000000000008,0.18318004493586212
114,1.1400000000000008,0.13297195865339703
115,1.1500000000000008,0.0815693845673985
116,1.1600000000000008,0.02972911052372006
117,1.1700000000000008,-0.021796614307833233
118,1.1800000000000008,-0.07227083930214247
119,1.1900000000000008,-0.12098229802046227
120,1.2000000000000008,-0.16725527553473588
121,1.2100000000000009,-0.2104588228660708
122,1.2200000000000009,-0.2500151952909482
123,1.2300000000000009,-0.28540740420216404
124,1.2400000000000009,-0.31618578654712165
125,1.2500000000000009,-0.34197351137754634
126,1.260000000000001,-0.36247095949192404
127,1.270000000000001,-0.37745892928490304
128,1.280000000000001,-0.38680063948017535
129,1.290000000000001,-0.3904425171561092
130,1.300000000000001,-0.38841377711901476
131,1.310000000000001,-0.38082481598471957
132,1.320000000000001,-0.36786446105095216
133,1.330000000000001,-0.3497961299486043
134,1.340000000000001,-0.3269529719320841
135,1.350000000000001,-0.29973207530846513
136,1.360000000000001,-0.2685878377333621
137,1.370000000000001,-0.23402460676266762
138,1.380000000000001,-0.1965887070124905
139,1.390000000000001,-0.15685997744017957
140,1.400000000000001,-0.11544294753997275
141,1.410000000000001,-0.07295778459850867
142,1.420000000000001,-0.030031145557569826
143,1.430000000000001,0.012712933508265271
144,1.440000000000001,0.054661979737327775
145,1.450000000000001,0.09522373137788949
146,1.460000000000001,0.13383437100981324
147,1.470000000000001,0.1699662315529359
148,1.480000000000001,0.20313487172243253
149,1.490000000000001,0.23290542814488804
150,1.500000000000001,0.25889816308634683
151,1.5100000000000011,0.28079313947936807
152,1.5200000000000011,0.2983339684725153
153,1.5300000000000011,0.3113305888565077
