"iteration","t","position"
0,0.0,0.9929591836734694
1,0.01,0.9720379008746355
2,0.02,0.937733319450229
3,0.03,0.8907266948295351
4,0.04,0.831871007981368
5,0.05,0.7621763267496654
6,0.060000000000000005,0.6827931322146449
7,0.07,0.5949938773454256
8,0.08,0.5001530666449137
9,0.09,0.3997261624921347
10,0.09999999999999999,0.2952276362814466
11,0.10999999999999999,0.18820849013097213
12,0.11999999999999998,0.08023357784200075
13,0.12999999999999998,-0.027140948036503708
14,0.13999999999999999,-0.13238974265499787
15,0.15,-0.23403961939407478
16,0.16,-0.330689850270025
17,0.17,-0.4210311412112368
18,0.18000000000000002,-0.503863030060475
19,0.19000000000000003,-0.5781094812926355
20,0.20000000000000004,-0.6428324804275031
21,0.21000000000000005,-0.697243462507398
22,0.22000000000000006,-0.7407124423176785
23,0.23000000000000007,-0.7727747487506209
24,0.24000000000000007,-0.7931353013340022
25,0.25000000000000006,-0.8016704029430536
26,0.26000000000000006,-0.7984270585687075
27,0.2700000000000001,-0.7836198652160747
28,0.2800000000000001,-0.7576255520613111
29,0.2900000000000001,-0.7209752824323723
30,0.3000000000000001,-0.6743448595593028
31,0.3100000000000001,-0.6185430059580626
32,0.3200000000000001,-0.5544979114047861
33,0.3300000000000001,-0.48324226640669216
34,0.34000000000000014,-0.4058970166129652
35,0.35000000000000014,-0.32365408851773886
36,0.36000000000000015,-0.23775834792668074
37,0.37000000000000016,-0.14948905988388925
38,0.38000000000000017,-0.060141122039286156
39,0.3900000000000002,0.028993657212179752
40,0.4000000000000002,0.11664496900396092
41,0.4100000000000002,0.2015818441313131
42,0.4200000000000002,0.28262967633048025
43,0.4300000000000002,0.3586861971833055
44,0.4400000000000002,0.42873618941112485
45,0.45000000000000023,0.4918647463910409
46,0.46000000000000024,0.5472689092411677
47,0.47000000000000025,0.5942675384083577
48,0.48000000000000026,0.6323093039571215
49,0.49000000000000027,0.6609787072884543
50,0.5000000000000002,0.6800000763864432
51,0.5100000000000002,0.6892395064673076
52,0.5200000000000002,0.6887047476587083
53,0.5300000000000002,0.6785430706420461
54,0.5400000000000003,0.6590371696348173
55,0.5500000000000003,0.6305991892798474
56,0.5600000000000003,0.5937629875728894
57,0.5700000000000003,0.5491747705576425
58,0.5800000000000003,0.4975822558387288
59,0.5900000000000003,0.43982254073647076
60,0.6000000000000003,0.37680886690066273
61,0.6100000000000003,0.3095164862251527
62,0.6200000000000003,0.23896784281730085
63,0.6300000000000003,0.16621729247910993
64,0.6400000000000003,0.09233558460013037
65,0.6500000000000004,0.018394331543501716
66,0.6600000000000004,-0.05454931243028636
