iteration,t,analytic,beeman,verlet,gear
0,0.0,1.0,1.0,1.0,1.0
1,0.001,0.99921484752135,0.9992148450072886,0.999144890670554,0.9992148475213432
2,0.002,0.9982881745203732,0.998288167858408,0.9981482693887964,0.9982881745203358
3,0.003,0.9972203153106732,0.9972203028760724,0.9970104806891282,0.997220315310586
4,0.004,0.9960116238834226,0.9960116040611232,0.9957318887805318,0.9960116238832828
5,0.005,0.9946624738287382,0.9946624450137812,0.9943128774664354,0.9946624738285448
6,0.006,0.9931732582543714,0.9931732188523372,0.992753850061892,0.9931732582541236
7,0.007,0.9915443897017288,0.9915443381291704,0.9910552293080882,0.9915443897014256
8,0.008,0.989776300059237,0.9897762347441088,0.9892174572842024,0.9897763000588776
9,0.009,0.9878694404730712,0.987869359855154,0.9872409953166238,0.9878694404726543
10,0.01,0.98582428125526,0.9858241837865844,0.985126323885553,0.9858242812547852
11,0.011,0.9836413117891876,0.9836411959344502,0.9828739425289994,0.9836413117886538
12,0.012,0.9813210404325068,0.9813209046694852,0.9804843697441932,0.9813210404319128
13,0.013,0.9788639944174812,0.9788638372374454,0.9779581428864296,0.9788639944168268
14,0.014,0.9762707197487794,0.976270539656896,0.9752958180653644,0.9762707197480636
15,0.015,0.9735417810987296,0.9735415766144648,0.972497970038776,0.9735417810979516
16,0.016,0.9706777617000631,0.9706775313575812,0.9695651921038196,0.9706777616992224
17,0.017,0.9676792632361594,0.9676790055847152,0.9664980959857832,0.967679263235255
18,0.018,0.9645469057288144,0.964546619333144,0.963297311724374,0.9645469057278458
19,0.019,0.961281327423552,0.9612810108642564,0.9599634875575482,0.9612813274225184
20,0.02,0.9578831846724956,0.957882836546422,0.9564972898029092,0.9578831846713964
21,0.021,0.954353151814825,0.954352770735442,0.95289940273669,0.9543531518136597
22,0.022,0.9506919210548336,0.9506915056526034,0.9491705284703452,0.9506919210536016
23,0.023,0.9469002023376109,0.9468997512603547,0.94531138682477,0.9469002023363116
24,0.024,0.9429787232223692,0.9429782351356302,0.94132271520217,0.9429787232210022
25,0.025,0.9389282287534376,0.9389277023408366,0.9372052684556014,0.9389282287520028
26,0.026,0.9347494813289434,0.9347489152925308,0.9329598187562048,0.9347494813274396
27,0.027,0.9304432605672024,0.9304426536278068,0.928587155458156,0.9304432605656292
28,0.028,0.9260103631708442,0.9260097140684128,0.9240880849613524,0.9260103631692016
29,0.029,0.9214516027886918,0.9214509102826272,0.9194634305718636,0.9214516027869792
30,0.03,0.9167678098754172,0.9167670727449102,0.9147140323601628,0.9167678098736344
31,0.031,0.9119598315490016,0.9119590485933566,0.9098407470171698,0.9119598315471482
32,0.032,0.907028531446018,0.907027701484974,0.9048444477081208,0.9070285314440932
33,0.033,0.901974789574762,0.9019739114488096,0.8997260239242969,0.9019747895727664
34,0.034,0.8967995021662584,0.8967985747369484,0.8944863813326316,0.8967995021641912
35,0.035,0.8915035815231599,0.8915026036734088,0.8891264416232204,0.891503581521021
36,0.036,0.8860879558665712,0.8860869265009608,0.8836471423547616,0.8860879558643603
37,0.037,0.8805535691808171,0.8805524872258879,0.8780494367979492,0.8805535691785341
38,0.038,0.8749013810561831,0.8749002454607221,0.8723342937768462,0.874901381053828
39,0.039,0.8691323665296522,0.8691311762649754,0.8665026975082617,0.8691323665272249
40,0.04,0.863247515923664,0.8632462699838925,0.860555647439159,0.8632475159211642
41,0.041,0.8572478346829212,0.8572465320852529,0.8544941580821203,0.8572478346803492
42,0.042,0.8511343432092728,0.851132982994246,0.8483192588488935,0.8511343432066283
43,0.043,0.8449080766946946,0.8449066579264478,0.8420319938820494,0.8449080766919774
44,0.044,0.8385700849523987,0.8385686067189234,0.8356334218847742,0.8385700849496093
45,0.045,0.832121432246097,0.8321198936594845,0.8291246159488251,0.8321214322432353
46,0.046,0.8255631971174445,0.8255615973141267,0.8225066633806769,0.8255631971145106
47,0.047,0.8188964722116913,0.818894810352676,0.8157806655258852,0.8188964722086852
